gene_name	gene_id	#ofalleles
DDX11L1	100287102	2
WASH7P	653635	2
OR4F5	79501	2
LOC729737	729737	2
LOC100288069	100288069	2
FAM87B	400728	2
LINC00115	79854	2
LINC01128	643837	2
LINC01128	643837	2
FAM41C	284593	2
LOC100130417	100130417	2
SAMD11	148398	2
NOC2L	26155	2
KLHL17	339451	2
PLEKHN1	84069	2
PERM1	84808	2
HES4	57801	2
ISG15	9636	2
AGRN	375790	2
RNF223	401934	2
C1orf159	54991	2
LINC01342	254099	2
TTLL10	254173	2
TTLL10	254173	2
TNFRSF18	8784	2
TNFRSF4	7293	2
SDF4	51150	2
B3GALT6	126792	2
FAM132A	388581	2
UBE2J2	118424	2
SCNN1D	6339	2
ACAP3	116983	2
PUSL1	126789	2
CPSF3L	54973	2
CPTP	80772	2
TAS1R3	83756	2
DVL1	1855	2
MXRA8	54587	2
MXRA8	54587	2
MXRA8	54587	2
MXRA8	54587	2
AURKAIP1	54998	2
AURKAIP1	54998	2
AURKAIP1	54998	2
CCNL2	81669	2
LOC148413	148413	2
MRPL20	55052	2
ANKRD65	441869	2
TMEM88B	643965	2
VWA1	64856	2
ATAD3C	219293	2
ATAD3B	83858	2
ATAD3A	55210	2
ATAD3A	55210	2
TMEM240	339453	2
SSU72	29101	2
C1orf233	643988	2
MIB2	142678	2
MIB2	142678	2
MMP23B	8510	2
SLC35E2B	728661	2
CDK11A	728642	2
CDK11B	984	2
SLC35E2	9906	2
NADK	65220	2
NADK	65220	2
NADK	65220	2
NADK	65220	2
GNB1	2782	2
CALML6	163688	2
TMEM52	339456	2
KIAA1751	85452	2
GABRD	2563	2
PRKCZ	5590	2
PRKCZ	5590	2
PRKCZ	5590	2
PRKCZ	5590	2
C1orf86	199990	2
C1orf86	199990	2
C1orf86	199990	2
SKI	6497	2
LOC100129534	100129534	2
MORN1	79906	2
RER1	11079	2
PEX10	5192	2
PLCH2	9651	2
PANK4	55229	2
HES5	388585	2
LOC115110	115110	2
TNFRSF14	8764	2
LOC115110	115110	2
LOC100996583	100996583	2
FAM213B	127281	2
FAM213B	127281	2
MMEL1	79258	2
TTC34	100287898	2
ACTRT2	140625	2
LINC00982	440556	2
PRDM16	63976	2
ARHGEF16	27237	2
MEGF6	1953	2
TPRG1L	127262	2
WRAP73	49856	2
TP73	7161	2
TP73	7161	2
TP73	7161	2
TP73-AS1	57212	2
TP73-AS1	57212	2
CCDC27	148870	2
SMIM1	388588	2
SMIM1	388588	2
LRRC47	57470	2
CEP104	9731	2
DFFB	1677	2
C1orf174	339448	2
LINC01134	100133612	2
LINC01346	728716	2
LOC284661	284661	2
AJAP1	55966	2
KCNAB2	8514	2
NPHP4	261734	2
KCNAB2	8514	2
KCNAB2	8514	2
KCNAB2	8514	2
KCNAB2	8514	2
CHD5	26038	2
RPL22	6146	2
RNF207	388591	2
ICMT	23463	2
LINC00337	148645	2
HES3	390992	2
GPR153	387509	2
ACOT7	11332	2
ACOT7	11332	2
ACOT7	11332	2
ACOT7	11332	2
HES2	54626	2
ESPN	83715	2
TNFRSF25	8718	2
PLEKHG5	57449	2
PLEKHG5	57449	2
PLEKHG5	57449	2
PLEKHG5	57449	2
PLEKHG5	57449	2
PLEKHG5	57449	2
PLEKHG5	57449	2
PLEKHG5	57449	2
NOL9	79707	2
TAS1R1	80835	2
ZBTB48	3104	2
KLHL21	9903	2
PHF13	148479	2
THAP3	90326	2
THAP3	90326	2
DNAJC11	55735	2
LOC100505887	100505887	2
LOC100505887	100505887	2
CAMTA1	23261	2
VAMP3	9341	2
PER3	8863	2
UTS2	10911	2
UTS2	10911	2
TNFRSF9	3604	2
PARK7	11315	2
ERRFI1	54206	2
SLC45A1	50651	2
RERE	473	2
RERE	473	2
ENO1	2023	2
ENO1-AS1	100505975	2
ENO1	2023	2
CA6	765	2
SLC2A7	155184	2
SLC2A5	6518	2
GPR157	80045	2
H6PD	9563	2
H6PD	9563	2
SPSB1	80176	2
LOC100506022	100506022	2
LOC100506022	100506022	2
SLC25A33	84275	2
TMEM201	199953	2
PIK3CD	5293	2
C1orf200	644997	2
CLSTN1	22883	2
CTNNBIP1	56998	2
LZIC	84328	2
NMNAT1	64802	2
RBP7	116362	2
UBE4B	10277	2
KIF1B	23095	2
PGD	5226	2
APITD1-CORT	100526739	2
APITD1-CORT	100526739	2
CORT	1325	2
DFFA	1676	2
PEX14	5195	2
CASZ1	54897	2
C1orf127	148345	2
TARDBP	23435	2
MASP2	10747	2
SRM	6723	2
EXOSC10	5394	2
MTOR-AS1	100873935	2
ANGPTL7	10218	2
MTOR	2475	2
UBIAD1	29914	2
PTCHD2	57540	2
LOC101929181	101929181	2
FBXO44	93611	2
FBXO2	26232	2
FBXO44	93611	2
FBXO6	26270	2
MAD2L2	10459	2
MAD2L2	10459	2
DRAXIN	374946	2
AGTRAP	57085	2
C1orf167	284498	2
CLCN6	1185	2
MTHFR	4524	2
NPPA-AS1	100379251	2
NPPA	4878	2
NPPB	4879	2
KIAA2013	90231	2
PLOD1	5351	2
MFN2	9927	2
MIIP	60672	2
TNFRSF8	943	2
TNFRSF1B	7133	2
VPS13D	55187	2
DHRS3	9249	2
AADACL4	343066	2
AADACL3	126767	2
C1orf158	93190	2
PRAMEF12	390999	2
PRAMEF1	65121	2
PRAMEF1	65121	2
