Gene,Halflife
ENSMUSG00000000001,0.011552453
ENSMUSG00000000028,0.011552453
ENSMUSG00000000037,0.011552453
ENSMUSG00000000049,0.011552453
ENSMUSG00000000056,0.011552453
ENSMUSG00000000058,0.011552453
ENSMUSG00000000078,0.011552453
ENSMUSG00000000085,0.011552453
ENSMUSG00000000088,0.011552453
ENSMUSG00000000093,0.011552453
ENSMUSG00000000094,0.011552453
ENSMUSG00000000120,0.011552453
ENSMUSG00000000126,0.011552453
ENSMUSG00000000127,0.011552453
ENSMUSG00000000131,0.011552453
ENSMUSG00000000134,0.011552453
ENSMUSG00000000142,0.011552453
ENSMUSG00000000148,0.011552453
ENSMUSG00000000149,0.011552453
ENSMUSG00000000154,0.011552453
ENSMUSG00000000167,0.011552453
ENSMUSG00000000168,0.011552453
ENSMUSG00000000171,0.011552453
ENSMUSG00000000184,0.011552453
ENSMUSG00000000194,0.011552453
ENSMUSG00000000214,0.011552453
ENSMUSG00000000223,0.011552453
ENSMUSG00000000244,0.011552453
ENSMUSG00000000247,0.011552453
ENSMUSG00000000248,0.011552453
ENSMUSG00000000253,0.011552453
ENSMUSG00000000266,0.011552453
ENSMUSG00000000275,0.011552453
ENSMUSG00000000282,0.011552453
ENSMUSG00000000290,0.011552453
ENSMUSG00000000295,0.011552453
ENSMUSG00000000296,0.011552453
ENSMUSG00000000301,0.011552453
ENSMUSG00000000303,0.011552453
ENSMUSG00000000308,0.011552453
ENSMUSG00000000317,0.011552453
ENSMUSG00000000320,0.011552453
ENSMUSG00000000325,0.011552453
ENSMUSG00000000326,0.011552453
ENSMUSG00000000339,0.011552453
ENSMUSG00000000340,0.011552453
ENSMUSG00000000346,0.011552453
ENSMUSG00000000359,0.011552453
ENSMUSG00000000365,0.011552453
ENSMUSG00000000374,0.011552453
ENSMUSG00000000378,0.011552453
ENSMUSG00000000384,0.011552453
ENSMUSG00000000392,0.011552453
ENSMUSG00000000399,0.011552453
ENSMUSG00000000409,0.011552453
ENSMUSG00000000416,0.011552453
ENSMUSG00000000420,0.011552453
ENSMUSG00000000439,0.011552453
ENSMUSG00000000440,0.011552453
ENSMUSG00000000441,0.011552453
ENSMUSG00000000486,0.011552453
ENSMUSG00000000489,0.011552453
ENSMUSG00000000530,0.011552453
ENSMUSG00000000532,0.011552453
ENSMUSG00000000538,0.011552453
ENSMUSG00000000552,0.011552453
ENSMUSG00000000555,0.011552453
ENSMUSG00000000561,0.011552453
ENSMUSG00000000563,0.011552453
ENSMUSG00000000567,0.011552453
ENSMUSG00000000568,0.011552453
ENSMUSG00000000579,0.011552453
ENSMUSG00000000581,0.011552453
ENSMUSG00000000594,0.011552453
ENSMUSG00000000600,0.011552453
ENSMUSG00000000605,0.011552453
ENSMUSG00000000627,0.011552453
ENSMUSG00000000628,0.011552453
ENSMUSG00000000631,0.011552453
ENSMUSG00000000632,0.011552453
ENSMUSG00000000673,0.011552453
ENSMUSG00000000686,0.011552453
ENSMUSG00000000690,0.011552453
ENSMUSG00000000693,0.011552453
ENSMUSG00000000708,0.011552453
ENSMUSG00000000711,0.011552453
ENSMUSG00000000724,0.011552453
ENSMUSG00000000730,0.011552453
ENSMUSG00000000732,0.011552453
ENSMUSG00000000738,0.011552453
ENSMUSG00000000739,0.011552453
ENSMUSG00000000740,0.011552453
ENSMUSG00000000743,0.011552453
ENSMUSG00000000751,0.011552453
ENSMUSG00000000753,0.011552453
ENSMUSG00000000759,0.011552453
ENSMUSG00000000776,0.011552453
ENSMUSG00000000782,0.011552453
