geneSymbol,half_life_hr,decay_rate,p_val
Zglp1,5.459428368,-2.06385701,0.393483399
Ldlrap1,2.023792732,-1.071486262,0.014879429
Mdn1,3.47706195,-1.61270059,0.134051206
Mfap1b,2.801532753,-1.3966796,0.123621876
Gm11696,1.085390755,-0.448452986,0.051120804
Dnajc3,5.477477005,-2.067157515,0.068344542
9430060I03Rik,0.500696958,0.325241315,0.763077498
Gm12359,0.945880964,-0.310874372,0.306172901
Fam129c,6.851530538,-2.290984984,0.144072689
Fam174b,2.039227837,-1.079084145,0.469204395
Gm10857,3.518827425,-1.624640737,0.064697621
Gm10785,2.354406729,-1.222801696,0.320850998
Gm15441,1.40850132,-0.709039166,0.190502716
Gm10658,1.832514296,-0.972201877,0.13534334
Gm10790,4.911437994,-1.95807969,0.618228932
F420014N23Rik,0.330316246,0.741191841,0.565925218
Gm10865,8.751016543,-2.535682791,0.724051102
Gm10516,0.553730689,0.224563911,0.777805316
Cep85l,0.742295626,-0.068505223,0.833981952
Gm1976,0.459820329,0.410406534,0.482816568
Btnl1,3.848753097,-1.714262145,0.160787985
Isg15,13.52470186,-2.971030702,0.329304798
Gm1995,6.588954088,-2.251907545,0.358492354
Gm2011,0.690614302,0.003660864,0.997717471
Gm2027,8.499200964,-2.506485075,0.171873288
Gm2382,5.514085262,-2.073818696,0.048003152
D5Ertd605e,1.982690452,-1.050967657,0.104120154
Gm2518,3.055647605,-1.483504473,0.251415226
Gm12942,1.885032407,-1.000457934,0.195083668
3830408C21Rik,2.129637125,-1.122464522,0.048869465
Mndal,14.74929612,-3.057708282,0.34595549
Gm2848,1.087178875,-0.450099073,0.091829245
Kcnj13,5.289237756,-2.032187065,0.603093383
Fancf,0.567682905,0.199679361,0.471473951
Gm11974,0.545356325,0.239802971,0.609135705
D4Ertd617e,0.863610875,-0.219879933,0.834811684
Ly6c2,2.430658249,-1.254675026,0.478929727
Gm3414,0.989151377,-0.355605022,0.50556575
Gm3435,43.0819475,-4.129616979,0.597721979
Gm10863,0.504020455,0.318625507,0.390627476
Gm13157,3.228190381,-1.538434647,0.039687072
Gm10451,1.487658189,-0.763716119,0.087593203
Gm3604,0.83357765,-0.184484501,0.275936398
BC005561,207.4417962,-5.701363721,0.935615542
