Gene,half_life_hr,decay_rate,p_val,geneSymbol
Zglp1,4.049287724,-1.765053916,2.71E-05,Zglp1
Ldlrap1,2.730951386,-1.371162962,4.74E-08,Ldlrap1
Mdn1,3.450622409,-1.605067544,0.000259689,Mdn1
Pydc3,2.203735774,-1.15666692,0.001472243,Pydc3
Wfdc17,4.211857449,-1.80441667,0.000253739,Wfdc17
Mfap1b,2.42386559,-1.251876538,4.87E-05,Mfap1b
BC100530,7.885629993,-2.431555036,4.09E-06,BC100530
Gm17762,3.364536062,-1.579803003,0.003629267,Gm17762
Gm16039,3.000652308,-1.465342622,7.02E-06,Gm16039
Gm16982,4.541619786,-1.87979665,0.003351123,Gm16982
Gm11149,14.80891846,-3.061742518,0.27836193,Gm11149
Gm11696,3.299360732,-1.560241653,0.001798314,Gm11696
Dnajc3,4.507907873,-1.87234608,2.64E-06,Dnajc3
9430060I03Rik,1.618312069,-0.847896594,0.014032227,9430060I03Rik
Gm12359,2.498189889,-1.282079346,0.000236662,Gm12359
Fam129c,3.174016747,-1.521510819,3.10E-05,Fam129c
Rsph3b,2.573483436,-1.311773324,7.31E-05,Rsph3b
Rnaset2a,8.211235828,-2.47201636,0.000296252,Rnaset2a
D030047H15Rik,3.429191867,-1.598837547,0.003626292,D030047H15Rik
Fam174b,3.097221587,-1.497018368,5.91E-07,Fam174b
Gm10532,1.715754399,-0.906365787,0.000546573,Gm10532
Gm10857,6.161962654,-2.18490826,0.016791321,Gm10857
F630028O10Rik,0.739569276,-0.064825599,0.60497513,F630028O10Rik
Gm10714,4.624465205,-1.897873654,0.324169297,Gm10714
Gm10785,3.850122806,-1.714617966,0.002271443,Gm10785
Gm10677,5.132791655,-2.002162614,0.000407184,Gm10677
Gm15441,8.050326703,-2.452225595,1.72E-05,Gm15441
Gm10684,1.503788943,-0.774500806,9.47E-05,Gm10684
Gm13582,3.224504932,-1.53729235,0.003650962,Gm13582
Gm11837,0.397766384,0.555377501,0.479878955,Gm11837
Gm10640,1.63382869,-0.857439071,0.013569339,Gm10640
Dnmt3aos,2.095419014,-1.106266461,0.000235544,Dnmt3aos
Gm10560,1.835477074,-0.973817354,0.010070956,Gm10560
Gm10767,3.804220283,-1.702623972,0.003241803,Gm10767
Gm10658,2.557212075,-1.305430553,0.042709989,Gm10658
F420014N23Rik,2.694537964,-1.357739668,0.001265813,F420014N23Rik
Gm10865,2.803940246,-1.397538579,0.010383863,Gm10865
Gm10791,1.528180912,-0.790591002,0.013087493,Gm10791
7420461P10Rik,4.297931611,-1.824646807,0.002953087,7420461P10Rik
Tmem51os1,2.625179217,-1.331662088,6.69E-06,Tmem51os1
Gm10516,4.952814907,-1.966469004,0.000201846,Gm10516
Gm15401,1.362417582,-0.675773676,0.253298692,Gm15401
Cep85l,2.129631963,-1.122462098,0.01152412,Cep85l
Gm1976,4.256885165,-1.815050631,0.000403177,Gm1976
BC117090,9.558532442,-2.623947126,6.19E-06,BC117090
Isg15,2.188208636,-1.149596155,7.63E-08,Isg15
Vmn2r121,3.218282259,-1.535360678,0.000182212,Vmn2r121
LOC100038947,1.668229092,-0.878275561,0.014045819,LOC100038947
Gm1995,3.241913893,-1.542676784,4.85E-06,Gm1995
Gm2027,3.794609082,-1.700094317,0.000280699,Gm2027
Gm15706,8.776212338,-2.538557839,0.005545163,Gm15706
Tcf24,2.913721469,-1.43594404,0.008205152,Tcf24
5031434O11Rik,8.187090084,-2.469071454,0.005124939,5031434O11Rik
Gm2373,2.873662411,-1.422100238,0.004333669,Gm2373
Gm2382,3.503541851,-1.620287335,0.000272927,Gm2382
Hrct1,4.103116557,-1.778259741,0.005543954,Hrct1
Ildr2,4.117483099,-1.781754999,0.000827237,Ildr2
Snhg12,4.089690795,-1.774982288,1.72E-08,Snhg12
Gm2518,3.812650728,-1.704837597,0.002813598,Gm2518
Gm12942,3.311037757,-1.563774583,4.63E-05,Gm12942
Gm2694,5.569046982,-2.083736861,0.014595012,Gm2694
3830408C21Rik,4.77625093,-1.930168835,0.000277007,3830408C21Rik
Gm2762,2.370350423,-1.229550722,0.018595507,Gm2762
Mndal,2.355087085,-1.223090626,1.16E-05,Mndal
Kcnj13,2.975800214,-1.457025903,0.018828717,Kcnj13
Fancf,1.769133206,-0.937002633,0.000721682,Fancf
Gm12603,6.190358013,-2.189505843,4.00E-06,Gm12603
Gm2897,4.793467977,-1.933767074,0.000445357,Gm2897
Mirg,3.62753283,-1.655065677,3.57E-05,Mirg
Rpl14-ps1,8.50628418,-2.507318126,4.74E-05,Rpl14-ps1
Gm3086,0.995585295,-0.362088442,0.30142653,Gm3086
