geneSymbol,half_life_hr
Rpl4,100.0
Rpl3l,100.0
Rps27,100.0
Rpl10a,100.0
Rpl18a,100.0
Rpl3,100.0
Rpl13,100.0
Rpl27a,100.0
Rps19,100.0
Rpsa,100.0
Rpl13a,100.0
Rpl19,100.0
Rps12,100.0
Rpl37a,100.0
Rpl37,100.0
Rps3,100.0
Rpl23a,100.0
Rps18,100.0
Rplp0,100.0
Rps9,100.0
Rpl32,100.0
Rpl17,100.0
Rpl36,100.0
Rps28,100.0
Rpl9,100.0
Rps21,100.0
Rpl6,100.0
Rps6,100.0
Rpl14,100.0
Rps4x,100.0
Rpl38,100.0
Rplp2,100.0
Rps10,100.0
Rps29,100.0
Rps20,100.0
Rps15,100.0
Rps24,100.0
Rps5,100.0
Rpl23,100.0
Rps16,100.0
Rpl35,100.0
Rps7,100.0
Rpl41,100.0
Rpl39,100.0
Rps15a,100.0
Rpl36a,100.0
Fau,100.0
Rpl18,100.0
Rps25,100.0
Rpl30,100.0
Rps23,100.0
Rpl7a,100.0
Rpl8,100.0
Rps8,100.0
Rpl29,100.0
Rpl5,100.0
Uba52,100.0
Rps26,100.0
Rplp1,100.0
Rpl12,100.0
Rps2,100.0
Rpl26,100.0
Rpl27,100.0
Rpl11,100.0
Rpl7,100.0
Rpl31,100.0
Rps11,100.0
Rps13,100.0
Rpl15,100.0
Rpl34,100.0
Rps17,100.0
Rpl28,100.0
Rpl35a,100.0
Rps27a,100.0
Rpl10,100.0
Rsl24d1,100.0
Mrpl13,100.0
Rpl36al,100.0
Rpl22l1,100.0
Rps27l,100.0
