gene,half_life_hr,decay_rate,p_val,geneSymbol
Gnai3,361.432878891744,-6.25658927105919,0.967758548458967,Gnai3
Cdc45,3.19847089524076,-1.52918577094567,0.255387026431157,Cdc45
H19,1.39160955741427,-0.696973952785799,0.0120388949021893,H19
Narf,2.38390205637062,-1.23525158520365,0.180295850217946,Narf
Klf6,0.934964793052297,-0.299266515689744,0.00503715265678151,Klf6
Scmh1,4.66005555783925,-1.90554029093125,0.510043849397278,Scmh1
Brat1,1.79042996277965,-0.948968714260479,0.248074958446298,Brat1
Gna12,529.938934981475,-6.63927470347376,0.984736331896244,Gna12
Gpr107,6.30077995878219,-2.20718634929749,0.390081969407165,Gpr107
Slfn4,1.11320804368636,-0.473758896958504,0.707082314072348,Slfn4
Tspan32,11.138383335956,-2.77691002210392,0.573991108812982,Tspan32
Trim25,2.44866839499786,-1.26205728513621,0.335632965167058,Trim25
Dgke,3.65194563040152,-1.66177299558076,0.487100892913888,Dgke
Mnt,1.93928512256295,-1.02883233222223,0.306891431667071,Mnt
Itgb2,8.88280890891366,-2.55063074613893,0.591698208417089,Itgb2
Hddc2,14.2927706202418,-3.02626677898147,0.708092285026823,Hddc2
Pemt,10.6802752067771,-2.73491152220654,0.752962830625512,Pemt
Bcl6b,2.54883570583117,-1.30214958953633,0.247016402197295,Bcl6b
Comt,4.2678466905923,-1.81762233270879,0.33351183212638,Comt
Rtca,18.2057701024274,-3.26825150301321,0.663967952894689,Rtca
Dbt,6.12699671411233,-2.1792176180287,0.530021177037659,Dbt
Dazap2,11.9097301878577,-2.84386864944018,0.582346712509783,Dazap2
Trappc10,3.49440739594184,-1.61767672422048,0.34188806150985,Trappc10
Ccm2,2.18531194072778,-1.14827150357446,0.280242314779965,Ccm2
Tbrg4,9.30250191964893,-2.59679630817867,0.474020438494686,Tbrg4
Mx1,3.72388470148042,-1.68128031858282,0.598778646037771,Mx1
Lck,6.64491866069604,-2.26036537199416,0.480049658952783,Lck
Tssk3,6.29282066834693,-2.20592232771532,0.837376819703144,Tssk3
Galnt1,6.18322650159603,-2.18835314344783,0.504779727084033,Galnt1
Grasp,1.32512959863375,-0.64802318552636,0.121953739487305,Grasp
Acvr1b,3.13230692971553,-1.50828269190219,0.50989909543732,Acvr1b
Tom1l2,2.76144206700935,-1.38226595190824,0.0740021581408991,Tom1l2
Zfp385a,11.7363391337913,-2.82920285788549,0.726886885206632,Zfp385a
Itga5,1.51194594295327,-0.779910445684855,0.226078368877367,Itga5
Wdr77,7.16479335068805,-2.33569213995084,0.325519474379562,Wdr77
Hnrnpd,24.9798569111454,-3.584582697126,0.733513168840969,Hnrnpd
C1d,11.489017405995,-2.80790449146567,0.593439633800708,C1d
